iter	MultiClass
0	1.950383032
1	1.777722529
2	1.666911143
3	1.547942725
4	1.439724098
5	1.342415834
6	1.27261833
7	1.191403725
8	1.133355894
9	1.063439562
10	0.9853565427
11	0.9225281485
12	0.8439916853
13	0.7899111739
14	0.7332361212
15	0.68525064
16	0.6460565567
17	0.6127635918
18	0.5680938683
19	0.5381214317
20	0.5087709457
21	0.4814121532
22	0.4574372542
23	0.4345927795
24	0.4180712606
25	0.3955372893
26	0.3759263224
27	0.358428304
28	0.3440735707
29	0.3290602564
30	0.3162531051
31	0.304158124
32	0.2900377739
33	0.2769155676
34	0.267622926
35	0.2582833576
36	0.2471310979
37	0.2376552259
38	0.2291679987
39	0.220091858
40	0.2139195525
41	0.2082146366
42	0.2015546663
43	0.1949511298
44	0.1898884253
45	0.1855417709
46	0.1799494799
47	0.1749578556
48	0.1699931593
49	0.1653472492
50	0.1611034689
51	0.1571817842
52	0.1527629262
53	0.1493352552
54	0.1448710043
55	0.1414645266
56	0.1385266857
57	0.1358227263
58	0.1327912056
59	0.1297983517
60	0.1266001958
61	0.1240011345
62	0.1213861188
63	0.1187344924
64	0.1165104909
65	0.1149675651
66	0.1124906272
67	0.1106506761
68	0.1087701456
69	0.1063274896
70	0.1042279046
71	0.101941753
72	0.1002734685
73	0.09860861699
74	0.09674554077
75	0.09494763133
76	0.09374925266
77	0.09245403795
78	0.09060153544
79	0.08896711895
80	0.08755120658
81	0.0860742561
82	0.08448902481
83	0.08327116833
84	0.08204370354
85	0.08071252282
86	0.07969581412
87	0.07864243451
88	0.07785299045
89	0.07696430974
90	0.07571851459
91	0.07471877818
92	0.07358326811
93	0.07256823587
94	0.07144530721
95	0.07042962897
96	0.06944656059
97	0.068699333
98	0.0678383303
99	0.06697995627
